noun	verb	case	frequency
assistant	legging	concrete	0
assistant	crochet	concrete	0
assistant	lock	concrete	0
assistant	sprout	concrete	0
assistant	chisel	concrete	0
assistant	meth	concrete	0
assistant	seal	concrete	0
assistant	stoop	concrete	0
assistant	sign	concrete	0
assistant	drool	concrete	0
assistant	peel	concrete	0
assistant	drawing	concrete	0
assistant	puke	concrete	0
assistant	sail	concrete	0
assistant	handle	concrete	0
assistant	skate	concrete	0
assistant	tear	concrete	0
assistant	shed	concrete	0
assistant	brush	concrete	0
assistant	step	concrete	0
assistant	swing	concrete	0
assistant	weep	concrete	0
assistant	clamp	concrete	0
assistant	dial	concrete	0
assistant	dunk	concrete	0
assistant	honk	concrete	0
assistant	jump	concrete	0
assistant	kissing	concrete	0
assistant	lick	concrete	0
assistant	spike	concrete	0
assistant	bodysurf	concrete	0
assistant	crank	concrete	0
assistant	ditch	concrete	0
assistant	painted	concrete	0
assistant	rivet	concrete	0
assistant	crying	concrete	0
assistant	kiss	concrete	0
assistant	salute	concrete	0
athlete	develop	abstract	91
athlete	enable	abstract	90
athlete	ensure	abstract	55
athlete	improve	abstract	50
athlete	know	abstract	47
athlete	advise	abstract	42
athlete	motivate	abstract	35
athlete	welcome	abstract	34
athlete	suggest	abstract	26
athlete	require	abstract	26
athlete	become	abstract	24
athlete	affect	abstract	21
athlete	need	abstract	20
athlete	occur	abstract	14
athlete	educate	abstract	14
athlete	consider	abstract	13
athlete	inspire	abstract	13
athlete	expect	abstract	13
athlete	hope	abstract	12
athlete	want	abstract	12
athlete	aspire	abstract	11
athlete	impair	abstract	11
athlete	believe	abstract	9
athlete	reduce	abstract	9
athlete	persuade	abstract	9
athlete	promise	abstract	9
athlete	imagine	abstract	7
athlete	wish	abstract	7
athlete	conclude	abstract	7
athlete	qualify	abstract	7
athlete	happen	abstract	6
athlete	convince	abstract	6
athlete	evaluate	abstract	6
athlete	comprise	abstract	6
athlete	explain	abstract	6
athlete	predict	abstract	6
athlete	confirm	abstract	6
athlete	assume	abstract	5
athlete	relate	abstract	5
athlete	clarify	abstract	5
athlete	love	abstract	5
athlete	recall	abstract	5
athlete	vary	abstract	4
athlete	empower	abstract	4
athlete	conduct	abstract	4
athlete	depict	abstract	4
athlete	prove	abstract	3
athlete	diagnose	abstract	3
athlete	manage	abstract	3
athlete	realize	abstract	3
athlete	solve	abstract	3
athlete	dominate	abstract	3
athlete	deceive	abstract	2
athlete	offend	abstract	2
athlete	seem	abstract	2
athlete	exceed	abstract	2
athlete	wonder	abstract	2
athlete	afford	abstract	2
athlete	imply	abstract	2
athlete	prohibit	abstract	2
athlete	remain	abstract	2
athlete	bother	abstract	2
athlete	entice	abstract	2
athlete	admire	abstract	2
athlete	blame	abstract	2
athlete	consist	abstract	2
athlete	contend	abstract	2
athlete	glorify	abstract	2
athlete	afflict	abstract	2
athlete	define	abstract	2
athlete	commit	abstract	2
athlete	suppose	abstract	1
athlete	accustom	abstract	1
athlete	embitter	abstract	1
athlete	exploit	abstract	1
athlete	dislike	abstract	1
athlete	intend	abstract	1
athlete	befall	abstract	1
athlete	convey	abstract	1
athlete	elicit	abstract	1
athlete	lament	abstract	1
athlete	doubt	abstract	1
athlete	maximize	abstract	1
athlete	alienate	abstract	1
athlete	entail	abstract	1
athlete	bolster	abstract	1
athlete	depend	abstract	1
athlete	impose	abstract	1
athlete	rely	abstract	1
athlete	condemn	abstract	1
athlete	conserve	abstract	1
athlete	endanger	abstract	1
athlete	utilize	abstract	1
athlete	devise	abstract	1
athlete	stylize	abstract	1
athlete	forget	abstract	1
athlete	liken	abstract	1
athlete	prolong	abstract	1
athlete	trust	abstract	1
athlete	engage	abstract	1
athlete	show	concrete	47
athlete	lead	concrete	39
athlete	treat	concrete	37
athlete	watch	concrete	21
athlete	throw	concrete	19
athlete	smoke	concrete	14
athlete	push	concrete	14
athlete	cover	concrete	11
athlete	visit	concrete	10
athlete	drive	concrete	8
athlete	break	concrete	8
athlete	catch	concrete	7
athlete	build	concrete	7
athlete	call	concrete	6
athlete	draw	concrete	6
athlete	kill	concrete	6
athlete	feed	concrete	5
athlete	check	concrete	5
athlete	serve	concrete	5
athlete	reach	concrete	5
athlete	speak	concrete	5
athlete	drop	concrete	3
athlete	climb	concrete	3
athlete	strike	concrete	3
athlete	carry	concrete	3
athlete	beat	concrete	3
athlete	pull	concrete	3
athlete	shoot	concrete	3
athlete	handle	concrete	2
athlete	jump	concrete	2
athlete	swim	concrete	2
athlete	wash	concrete	2
athlete	fight	concrete	2
athlete	steer	concrete	2
athlete	talk	concrete	2
athlete	rise	concrete	2
athlete	vote	concrete	2
athlete	kidnap	concrete	2
athlete	pack	concrete	2
athlete	raise	concrete	2
athlete	sign	concrete	1
athlete	skate	concrete	1
athlete	step	concrete	1
athlete	sleep	concrete	1
athlete	curl	concrete	1
athlete	sing	concrete	1
athlete	write	concrete	1
athlete	huddle	concrete	1
athlete	soak	concrete	1
athlete	stand	concrete	1
athlete	snap	concrete	1
athlete	walk	concrete	1
athlete	click	concrete	1
athlete	grind	concrete	1
athlete	recite	concrete	1
athlete	cast	concrete	1
athlete	pick	concrete	1
athlete	subtract	concrete	1
athlete	applaud	concrete	1
athlete	weigh	concrete	1
athlete	blow	concrete	1
athlete	sharpen	concrete	1
athlete	sweep	concrete	1
athlete	launch	concrete	1
athlete	comb	concrete	0
athlete	tire	concrete	0
athlete	nail	concrete	0
athlete	scissor	concrete	0
athlete	blinking	concrete	0
athlete	rake	concrete	0
athlete	screw	concrete	0
athlete	firebomb	concrete	0
athlete	handcuff	concrete	0
athlete	paint	concrete	0
athlete	leaves	concrete	0
athlete	skating	concrete	0
athlete	vomit	concrete	0
athlete	piss	concrete	0
athlete	slap	concrete	0
athlete	buckle	concrete	0
athlete	spit	concrete	0
athlete	caulk	concrete	0
athlete	sandbag	concrete	0
athlete	whip	concrete	0
athlete	eave	concrete	0
athlete	smack	concrete	0
athlete	snowshoe	concrete	0
athlete	spout	concrete	0
athlete	barge	concrete	0
athlete	legging	concrete	0
athlete	crochet	concrete	0
athlete	lock	concrete	0
athlete	sprout	concrete	0
athlete	chisel	concrete	0
athlete	meth	concrete	0
athlete	seal	concrete	0
athlete	stoop	concrete	0
athlete	drool	concrete	0
athlete	peel	concrete	0
athlete	drawing	concrete	0
attack	condemn	abstract	410
attack	motivate	abstract	154
attack	expect	abstract	153
attack	conduct	abstract	143
attack	reduce	abstract	139
attack	justify	abstract	123
attack	renew	abstract	103
attack	know	abstract	96
attack	believe	abstract	79
attack	consider	abstract	76
attack	commit	abstract	43
attack	blame	abstract	41
attack	develop	abstract	39
attack	suggest	abstract	32
attack	prohibit	abstract	32
attack	denounce	abstract	28
attack	endure	abstract	27
attack	mitigate	abstract	26
attack	perceive	abstract	24
attack	become	abstract	22
attack	want	abstract	22
attack	predict	abstract	22
attack	deplore	abstract	21
attack	bolster	abstract	20
attack	manage	abstract	20
attack	hate	abstract	19
attack	enable	abstract	19
attack	confirm	abstract	19
attack	exploit	abstract	18
attack	vary	abstract	16
attack	await	abstract	15
attack	decide	abstract	15
attack	engage	abstract	15
attack	suppose	abstract	14
attack	ensure	abstract	14
attack	condone	abstract	14
attack	relate	abstract	14
attack	forbid	abstract	13
attack	explain	abstract	13
attack	inspire	abstract	12
attack	tolerate	abstract	12
attack	require	abstract	12
attack	need	abstract	11
attack	promise	abstract	11
attack	depict	abstract	11
attack	intend	abstract	10
attack	defy	abstract	10
attack	define	abstract	10
attack	worsen	abstract	9
attack	redirect	abstract	9
attack	diagnose	abstract	9
attack	affect	abstract	9
attack	welcome	abstract	9
attack	foresee	abstract	9
attack	dominate	abstract	9
attack	imagine	abstract	8
attack	entail	abstract	7
attack	occur	abstract	7
attack	approve	abstract	7
attack	imply	abstract	7
attack	comprise	abstract	7
attack	hope	abstract	6
attack	assume	abstract	6
attack	conclude	abstract	6
attack	convince	abstract	6
attack	remain	abstract	6
attack	consist	abstract	6
attack	glorify	abstract	6
attack	insist	abstract	6
attack	prefer	abstract	5
attack	preclude	abstract	5
attack	deserve	abstract	5
attack	seem	abstract	5
attack	declare	abstract	5
attack	muster	abstract	5
attack	inhibit	abstract	5
attack	nullify	abstract	5
attack	recall	abstract	5
attack	render	abstract	5
attack	wish	abstract	4
attack	improve	abstract	4
attack	resolve	abstract	4
attack	devise	abstract	4
attack	feign	abstract	4
attack	elicit	abstract	3
attack	allege	abstract	3
attack	doubt	abstract	3
attack	regret	abstract	3
attack	abhor	abstract	3
attack	bungle	abstract	3
attack	equate	abstract	3
attack	impose	abstract	3
attack	evolve	abstract	3
attack	advise	abstract	3
attack	liken	abstract	3
attack	deem	abstract	3
attack	disown	abstract	2
attack	pertain	abstract	2
attack	invoke	abstract	2
attack	signify	abstract	2
attack	launch	concrete	1503
attack	lead	concrete	433
attack	carry	concrete	170
attack	treat	concrete	111
attack	call	concrete	64
attack	cover	concrete	53
attack	fight	concrete	51
attack	step	concrete	49
attack	kill	concrete	46
attack	resume	concrete	41
attack	shoot	concrete	41
attack	build	concrete	40
attack	show	concrete	37
attack	break	concrete	37
attack	watch	concrete	26
attack	push	concrete	23
attack	handle	concrete	19
attack	switch	concrete	18
attack	beat	concrete	18
attack	tackle	concrete	16
attack	blow	concrete	16
attack	write	concrete	15
attack	throw	concrete	15
attack	blend	concrete	15
attack	draw	concrete	13
attack	raise	concrete	13
attack	stand	concrete	11
attack	sneeze	concrete	11
attack	visit	concrete	11
attack	drive	concrete	11
attack	tear	concrete	10
attack	wheeze	concrete	10
attack	check	concrete	10
attack	bite	concrete	9
attack	shiver	concrete	9
attack	cross	concrete	8
attack	feed	concrete	8
attack	stab	concrete	8
attack	speak	concrete	8
attack	sniff	concrete	7
attack	sidestep	concrete	7
attack	crumble	concrete	7
attack	applaud	concrete	7
attack	catch	concrete	6
attack	shake	concrete	6
attack	fall	concrete	6
attack	choke	concrete	6
attack	sound	concrete	6
attack	tire	concrete	5
attack	sleep	concrete	5
attack	talk	concrete	5
attack	forge	concrete	5
attack	rise	concrete	5
attack	pick	concrete	5
attack	flush	concrete	5
attack	sharpen	concrete	5
attack	swing	concrete	4
attack	jump	concrete	4
attack	kick	concrete	4
attack	scream	concrete	4
attack	drop	concrete	4
attack	shatter	concrete	4
attack	smack	concrete	3
attack	soak	concrete	3
attack	convict	concrete	3
attack	breathe	concrete	3
attack	strike	concrete	3
attack	slam	concrete	3
attack	grind	concrete	3
attack	brace	concrete	3
attack	bounce	concrete	3
attack	erase	concrete	3
attack	vomit	concrete	2
attack	spit	concrete	2
attack	whip	concrete	2
attack	stall	concrete	2
attack	dance	concrete	2
attack	hail	concrete	2
attack	shrug	concrete	2
attack	lunge	concrete	2
attack	roll	concrete	2
attack	pour	concrete	2
attack	unlock	concrete	2
attack	explode	concrete	2
attack	scorch	concrete	2
attack	walk	concrete	2
attack	etch	concrete	2
attack	snuff	concrete	2
attack	sever	concrete	2
attack	pull	concrete	2
attack	cast	concrete	2
attack	spin	concrete	2
attack	touch	concrete	2
attack	vote	concrete	2
attack	reuse	concrete	2
attack	halve	concrete	2
attack	weigh	concrete	2
attack	skim	concrete	2
attack	scissor	concrete	1
attack	rake	concrete	1
attention	need	abstract	2797
attention	require	abstract	2749
attention	deserve	abstract	836
attention	devote	abstract	487
attention	engage	abstract	241
attention	want	abstract	230
attention	love	abstract	184
attention	ensure	abstract	168
attention	await	abstract	101
attention	detract	abstract	60
attention	develop	abstract	57
attention	excite	abstract	54
attention	welcome	abstract	54
attention	redirect	abstract	53
attention	improve	abstract	46
attention	suggest	abstract	43
attention	compel	abstract	42
attention	diagnose	abstract	41
attention	consider	abstract	40
attention	reduce	abstract	39
attention	believe	abstract	37
attention	expect	abstract	36
attention	know	abstract	28
attention	dominate	abstract	25
attention	enable	abstract	22
attention	impair	abstract	21
attention	flatter	abstract	20
attention	justify	abstract	18
attention	afford	abstract	18
attention	regain	abstract	17
attention	affect	abstract	17
attention	bestow	abstract	12
attention	explain	abstract	10
attention	hate	abstract	10
attention	renew	abstract	10
attention	occur	abstract	9
attention	manage	abstract	9
attention	relate	abstract	9
attention	admire	abstract	9
attention	solve	abstract	9
attention	recall	abstract	9
attention	hope	abstract	8
attention	become	abstract	8
attention	remain	abstract	8
attention	advise	abstract	8
attention	elicit	abstract	7
attention	qualify	abstract	6
attention	bother	abstract	6
attention	startle	abstract	6
attention	inspire	abstract	5
attention	entail	abstract	5
attention	depend	abstract	5
attention	decide	abstract	5
attention	astound	abstract	5
attention	imagine	abstract	4
attention	prefer	abstract	4
attention	assume	abstract	4
attention	seem	abstract	4
attention	wish	abstract	4
attention	happen	abstract	4
attention	imply	abstract	4
attention	vary	abstract	4
attention	derive	abstract	4
attention	regulate	abstract	4
attention	promise	abstract	4
attention	inhibit	abstract	4
attention	insist	abstract	4
attention	stay	abstract	4
attention	exploit	abstract	3
attention	dislike	abstract	3
attention	cope	abstract	3
attention	maximize	abstract	3
attention	prove	abstract	3
attention	equate	abstract	3
attention	resolve	abstract	3
attention	entice	abstract	3
attention	prolong	abstract	3
attention	commend	abstract	3
attention	define	abstract	3
attention	suppose	abstract	2
attention	convey	abstract	2
attention	perceive	abstract	2
attention	perplex	abstract	2
attention	reclaim	abstract	2
attention	regret	abstract	2
attention	approve	abstract	2
attention	comprise	abstract	2
attention	defer	abstract	2
attention	affirm	abstract	2
attention	concede	abstract	2
attention	spurn	abstract	2
attention	endure	abstract	2
attention	revert	abstract	2
attention	muster	abstract	2
attention	consist	abstract	2
attention	impress	abstract	2
attention	motivate	abstract	2
attention	feign	abstract	2
attention	confirm	abstract	2
attention	giving	abstract	2
attention	draw	concrete	17376
attention	call	concrete	1738
attention	catch	concrete	1677
attention	stand	concrete	263
attention	switch	concrete	197
attention	show	concrete	119
attention	rivet	concrete	55
attention	reach	concrete	35
attention	seize	concrete	32
attention	raise	concrete	31
attention	snap	concrete	28
attention	treat	concrete	28
attention	fight	concrete	24
attention	pull	concrete	23
attention	steal	concrete	23
attention	jump	concrete	20
attention	scream	concrete	19
attention	build	concrete	17
attention	strike	concrete	16
attention	shout	concrete	15
attention	write	concrete	14
attention	drag	concrete	14
attention	vote	concrete	14
attention	drive	concrete	13
attention	lead	concrete	11
attention	furnish	concrete	11
attention	handle	concrete	9
attention	steer	concrete	8
attention	pack	concrete	8
attention	speak	concrete	7
attention	split	concrete	6
attention	cover	concrete	5
attention	talk	concrete	5
attention	carry	concrete	5
attention	rise	concrete	5
attention	bend	concrete	5
attention	sharpen	concrete	5
attention	shed	concrete	4
attention	drop	concrete	4
attention	push	concrete	4
attention	fasten	concrete	4
attention	check	concrete	4
attention	walk	concrete	4
attention	throw	concrete	4
attention	beat	concrete	4
attention	freeze	concrete	4
attention	shine	concrete	4
attention	stir	concrete	4
attention	lock	concrete	3
attention	drawing	concrete	3
attention	tear	concrete	3
attention	wash	concrete	3
attention	wrestle	concrete	3
attention	lift	concrete	3
attention	pick	concrete	3
attention	serve	concrete	3
attention	smoke	concrete	2
attention	paint	concrete	2
attention	watch	concrete	2
attention	weld	concrete	2
attention	feed	concrete	2
attention	slip	concrete	2
attention	ignite	concrete	2
attention	click	concrete	2
attention	shoot	concrete	2
attention	cast	concrete	2
attention	visit	concrete	2
attention	cuddle	concrete	2
attention	kidnap	concrete	2
attention	launch	concrete	2
attention	sound	concrete	2
attention	spout	concrete	1
attention	brush	concrete	1
attention	step	concrete	1
attention	swing	concrete	1
attention	kiss	concrete	1
attention	salute	concrete	1
attention	slide	concrete	1
attention	cross	concrete	1
attention	sleep	concrete	1
attention	stomp	concrete	1
attention	bleed	concrete	1
attention	cook	concrete	1
attention	dance	concrete	1
attention	tackle	concrete	1
attention	buttress	concrete	1
attention	knock	concrete	1
attention	soak	concrete	1
attention	sniff	concrete	1
attention	scratch	concrete	1
attention	leapfrog	concrete	1
attention	wrap	concrete	1
attention	breathe	concrete	1
attention	rattle	concrete	1
attention	skip	concrete	1
attention	fall	concrete	1
attention	pluck	concrete	1
attention	wring	concrete	1
attention	suckle	concrete	1
attention	spin	concrete	1
attorney	become	abstract	36
attorney	need	abstract	23
attorney	require	abstract	14
attorney	know	abstract	10
attorney	afford	abstract	7
attorney	enable	abstract	7
attorney	trust	abstract	7
attorney	want	abstract	6
attorney	advise	abstract	6
attorney	educate	abstract	6
attorney	expect	abstract	5
attorney	predict	abstract	5
attorney	suggest	abstract	4
attorney	comprise	abstract	4
attorney	consider	abstract	3
attorney	qualify	abstract	3
attorney	believe	abstract	2
attorney	prefer	abstract	2
attorney	intend	abstract	2
attorney	wish	abstract	2
attorney	convince	abstract	2
attorney	astound	abstract	2
attorney	vary	abstract	2
attorney	relate	abstract	2
attorney	engage	abstract	2
attorney	hope	abstract	1
attorney	belong	abstract	1
attorney	await	abstract	1
attorney	ensure	abstract	1
attorney	perceive	abstract	1
attorney	seem	abstract	1
attorney	happen	abstract	1
attorney	doubt	abstract	1
attorney	denounce	abstract	1
attorney	prove	abstract	1
attorney	evaluate	abstract	1
attorney	attest	abstract	1
attorney	decide	abstract	1
attorney	affect	abstract	1
attorney	remain	abstract	1
attorney	rile	abstract	1
attorney	beware	abstract	1
attorney	empower	abstract	1
attorney	manage	abstract	1
attorney	reduce	abstract	1
attorney	assert	abstract	1
attorney	blame	abstract	1
attorney	impress	abstract	1
attorney	persuade	abstract	1
attorney	conduct	abstract	1
attorney	confirm	abstract	1
attorney	would	abstract	0
attorney	idealize	abstract	0
attorney	zing	abstract	0
attorney	avail	abstract	0
attorney	could	abstract	0
attorney	moralize	abstract	0
attorney	suppose	abstract	0
attorney	deserved	abstract	0
attorney	trusting	abstract	0
attorney	ought	abstract	0
attorney	prevail	abstract	0
attorney	distrust	abstract	0
attorney	justify	abstract	0
attorney	accustom	abstract	0
attorney	were	abstract	0
attorney	assuming	abstract	0
attorney	meant	abstract	0
attorney	redefine	abstract	0
attorney	acquaint	abstract	0
attorney	imposing	abstract	0
attorney	aspire	abstract	0
attorney	imagine	abstract	0
attorney	should	abstract	0
attorney	causing	abstract	0
attorney	inspired	abstract	0
attorney	behoove	abstract	0
attorney	disown	abstract	0
attorney	valued	abstract	0
attorney	differ	abstract	0
attorney	estrange	abstract	0
attorney	fooling	abstract	0
attorney	instill	abstract	0
attorney	knowing	abstract	0
attorney	outdo	abstract	0
attorney	smitten	abstract	0
attorney	limiting	abstract	0
attorney	accrue	abstract	0
attorney	becomes	abstract	0
attorney	deduce	abstract	0
attorney	forsaken	abstract	0
attorney	implore	abstract	0
attorney	assuring	abstract	0
attorney	embitter	abstract	0
attorney	pertain	abstract	0
attorney	renounce	abstract	0
attorney	knew	abstract	0
attorney	degrade	abstract	0
attorney	deign	abstract	0
attorney	deprave	abstract	0
attorney	call	concrete	24
attorney	visit	concrete	5
attorney	handle	concrete	4
attorney	write	concrete	4
attorney	serve	concrete	4
attorney	lead	concrete	3
attorney	throw	concrete	3
attorney	reach	concrete	3
attorney	cover	concrete	2
attorney	check	concrete	2
attorney	rise	concrete	2
attorney	handcuff	concrete	1
attorney	sign	concrete	1
attorney	cook	concrete	1
attorney	laugh	concrete	1
attorney	roll	concrete	1
attorney	catch	concrete	1
attorney	breathe	concrete	1
attorney	show	concrete	1
attorney	inhale	concrete	1
attorney	steal	concrete	1
attorney	comb	concrete	0
attorney	tire	concrete	0
attorney	smoke	concrete	0
attorney	nail	concrete	0
attorney	scissor	concrete	0
attorney	blinking	concrete	0
attorney	rake	concrete	0
attorney	screw	concrete	0
attorney	firebomb	concrete	0
attorney	paint	concrete	0
attorney	leaves	concrete	0
attorney	skating	concrete	0
attorney	vomit	concrete	0
attorney	piss	concrete	0
attorney	slap	concrete	0
attorney	buckle	concrete	0
attorney	spit	concrete	0
attorney	caulk	concrete	0
attorney	sandbag	concrete	0
attorney	whip	concrete	0
attorney	eave	concrete	0
attorney	smack	concrete	0
attorney	snowshoe	concrete	0
attorney	spout	concrete	0
attorney	barge	concrete	0
attorney	legging	concrete	0
attorney	crochet	concrete	0
attorney	lock	concrete	0
attorney	sprout	concrete	0
attorney	chisel	concrete	0
attorney	meth	concrete	0
attorney	seal	concrete	0
attorney	stoop	concrete	0
attorney	drool	concrete	0
attorney	peel	concrete	0
attorney	watch	concrete	0
attorney	drawing	concrete	0
attorney	puke	concrete	0
attorney	sail	concrete	0
attorney	stick	concrete	0
attorney	skate	concrete	0
attorney	tear	concrete	0
attorney	shed	concrete	0
attorney	brush	concrete	0
attorney	step	concrete	0
attorney	swing	concrete	0
attorney	weep	concrete	0
attorney	clamp	concrete	0
attorney	dial	concrete	0
attorney	dunk	concrete	0
attorney	honk	concrete	0
attorney	jump	concrete	0
attorney	kissing	concrete	0
attorney	lick	concrete	0
attorney	spike	concrete	0
attorney	bodysurf	concrete	0
attorney	crank	concrete	0
attorney	ditch	concrete	0
attorney	painted	concrete	0
attorney	rivet	concrete	0
attorney	crying	concrete	0
attorney	kiss	concrete	0
attorney	salute	concrete	0
attorney	slide	concrete	0
attorney	crawling	concrete	0
attorney	urinate	concrete	0
attorney	yawn	concrete	0
attorney	bite	concrete	0
attorney	cross	concrete	0
attorney	punching	concrete	0
attorney	sleep	concrete	0
attorney	washing	concrete	0
attorney	locked	concrete	0
attorney	swim	concrete	0
attorney	goggle	concrete	0
attorney	dropkick	concrete	0
attorney	floss	concrete	0
attorney	knit	concrete	0
attorney	shelve	concrete	0
author	know	abstract	397
author	become	abstract	234
author	enable	abstract	158
author	require	abstract	140
author	suggest	abstract	83
author	inspire	abstract	70
author	believe	abstract	61
author	expect	abstract	48
author	need	abstract	46
author	consider	abstract	45
author	advise	abstract	41
author	explain	abstract	36
author	suppose	abstract	35
author	want	abstract	35
author	hope	abstract	31
author	wish	abstract	31
author	trust	abstract	30
author	assume	abstract	29
author	ensure	abstract	28
author	develop	abstract	25
author	welcome	abstract	23
author	conclude	abstract	22
author	relate	abstract	22
author	love	abstract	19
author	intend	abstract	18
author	seem	abstract	18
author	define	abstract	18
author	confirm	abstract	17
author	convince	abstract	16
author	affect	abstract	16
author	admire	abstract	16
author	blame	abstract	16
author	forget	abstract	15
author	qualify	abstract	14
author	remain	abstract	14
author	persuade	abstract	14
author	manage	abstract	11
author	motivate	abstract	11
author	commend	abstract	11
author	insist	abstract	11
author	imagine	abstract	10
author	vary	abstract	10
author	prefer	abstract	9
author	convey	abstract	9
author	prove	abstract	9
author	approve	abstract	9
author	forgive	abstract	9
author	infringe	abstract	9
author	satisfy	abstract	9
author	justify	abstract	8
author	afford	abstract	8
author	evaluate	abstract	8
author	rely	abstract	8
author	declare	abstract	8
author	empower	abstract	8
author	consist	abstract	8
author	depict	abstract	8
author	finalize	abstract	8
author	recall	abstract	8
author	doubt	abstract	7
author	wonder	abstract	7
author	comprise	abstract	7
author	derive	abstract	7
author	engage	abstract	7
author	render	abstract	7
author	aspire	abstract	6
author	offend	abstract	6
author	happen	abstract	6
author	occur	abstract	6
author	imply	abstract	6
author	hate	abstract	6
author	promise	abstract	6
author	educate	abstract	6
author	omit	abstract	6
author	differ	abstract	5
author	improve	abstract	5
author	haunt	abstract	5
author	conduct	abstract	5
author	commit	abstract	5
author	belong	abstract	4
author	await	abstract	4
author	perceive	abstract	4
author	fulfill	abstract	4
author	presume	abstract	4
author	compel	abstract	4
author	simplify	abstract	4
author	decide	abstract	4
author	excite	abstract	4
author	devise	abstract	4
author	devote	abstract	4
author	realize	abstract	4
author	confuse	abstract	4
author	denote	abstract	4
author	liken	abstract	4
author	stay	abstract	4
author	betray	abstract	4
author	dislike	abstract	3
author	embody	abstract	3
author	denounce	abstract	3
author	absolve	abstract	3
author	lead	concrete	270
author	write	concrete	232
author	bend	concrete	210
author	visit	concrete	140
author	show	concrete	111
author	cover	concrete	42
author	call	concrete	37
author	kill	concrete	32
author	sign	concrete	26
author	treat	concrete	25
author	talk	concrete	23
author	check	concrete	21
author	drive	concrete	19
author	speak	concrete	16
author	reach	concrete	15
author	carry	concrete	13
author	raise	concrete	11
author	serve	concrete	10
author	draw	concrete	9
author	watch	concrete	7
author	click	concrete	7
author	beat	concrete	7
author	applaud	concrete	7
author	stand	concrete	6
author	fall	concrete	6
author	rise	concrete	6
author	pick	concrete	6
author	drop	concrete	5
author	break	concrete	5
author	handle	concrete	4
author	cross	concrete	4
author	steer	concrete	4
author	catch	concrete	4
author	strike	concrete	4
author	walk	concrete	4
author	cast	concrete	4
author	vote	concrete	4
author	launch	concrete	4
author	tackle	concrete	3
author	slam	concrete	3
author	erase	concrete	3
author	build	concrete	3
author	shed	concrete	2
author	weave	concrete	2
author	fold	concrete	2
author	burn	concrete	2
author	slip	concrete	2
author	resume	concrete	2
author	dump	concrete	2
author	lift	concrete	2
author	shine	concrete	2
author	pack	concrete	2
author	moan	concrete	2
author	sail	concrete	1
author	stick	concrete	1
author	tear	concrete	1
author	jump	concrete	1
author	salute	concrete	1
author	cook	concrete	1
author	scream	concrete	1
author	skydive	concrete	1
author	boil	concrete	1
author	drag	concrete	1
author	feed	concrete	1
author	roll	concrete	1
author	explode	concrete	1
author	shake	concrete	1
author	skip	concrete	1
author	switch	concrete	1
author	flog	concrete	1
author	throw	concrete	1
author	seize	concrete	1
author	split	concrete	1
author	swallow	concrete	1
author	bury	concrete	1
author	halve	concrete	1
author	smash	concrete	1
author	furnish	concrete	1
author	pivot	concrete	1
author	hang	concrete	1
author	comb	concrete	0
author	tire	concrete	0
author	smoke	concrete	0
author	nail	concrete	0
author	scissor	concrete	0
author	blinking	concrete	0
author	rake	concrete	0
author	screw	concrete	0
author	firebomb	concrete	0
author	handcuff	concrete	0
author	paint	concrete	0
author	leaves	concrete	0
author	skating	concrete	0
author	vomit	concrete	0
author	piss	concrete	0
author	slap	concrete	0
author	buckle	concrete	0
author	spit	concrete	0
author	caulk	concrete	0
author	sandbag	concrete	0
aviation	relate	abstract	37
aviation	reduce	abstract	36
aviation	ensure	abstract	34
aviation	improve	abstract	27
aviation	affect	abstract	27
aviation	consider	abstract	21
aviation	develop	abstract	19
aviation	know	abstract	16
aviation	manage	abstract	11
aviation	believe	abstract	10
aviation	engage	abstract	10
aviation	suggest	abstract	9
aviation	regulate	abstract	9
aviation	require	abstract	9
aviation	conduct	abstract	9
aviation	conclude	abstract	8
aviation	remain	abstract	8
aviation	need	abstract	7
aviation	expect	abstract	7
aviation	want	abstract	7
aviation	enable	abstract	6
aviation	assume	abstract	5
aviation	comprise	abstract	4
aviation	predict	abstract	4
aviation	mitigate	abstract	4
aviation	depend	abstract	3
aviation	decide	abstract	3
aviation	impose	abstract	3
aviation	prohibit	abstract	3
aviation	rely	abstract	3
aviation	advise	abstract	3
aviation	welcome	abstract	3
aviation	depict	abstract	3
aviation	commit	abstract	3
aviation	become	abstract	2
aviation	preclude	abstract	2
aviation	prove	abstract	2
aviation	occur	abstract	2
aviation	devote	abstract	2
aviation	forget	abstract	2
aviation	consist	abstract	2
aviation	contend	abstract	2
aviation	inhibit	abstract	2
aviation	dominate	abstract	2
aviation	render	abstract	2
aviation	define	abstract	2
aviation	belong	abstract	1
aviation	justify	abstract	1
aviation	exploit	abstract	1
aviation	intend	abstract	1
aviation	expend	abstract	1
aviation	inspire	abstract	1
aviation	cope	abstract	1
aviation	happen	abstract	1
aviation	pervade	abstract	1
aviation	tolerate	abstract	1
aviation	surmount	abstract	1
aviation	approve	abstract	1
aviation	imply	abstract	1
aviation	attest	abstract	1
aviation	qualify	abstract	1
aviation	endanger	abstract	1
aviation	explain	abstract	1
aviation	amaze	abstract	1
aviation	declare	abstract	1
aviation	trust	abstract	1
aviation	impress	abstract	1
aviation	love	abstract	1
aviation	renew	abstract	1
aviation	solve	abstract	1
aviation	insist	abstract	1
aviation	confirm	abstract	1
aviation	stay	abstract	1
aviation	would	abstract	0
aviation	idealize	abstract	0
